Denumire,Pret,Stoc,Link,Poza,Descriere
"Piure de mere bio 360g Biona","18.3","notinstock","www.natur.ro/767942B9-776C-4D1C-8F6B-6ACD5C1FC79C.html","https://www.natur.ro/ImaginiProduse/767942b9-776c-4d1c-8f6b-6acd5c1fc79c/5032722313316_cdabd1e9-1409-41c0-84dc-7b9674b913bd.png","Piure de mere, bio, 360g, BionaPiureul de mere Biona este obtinut din mere proaspete bio, catifelate, dulci, lipsite de zahar si orice pesticide potential daunatoare. Astfel ne asiguram ca veti beneficia de toti nutrientii.Piureul de mere adauga un plus de savoare terciului de ovaz, cerealelor crocante, iaurtului sau budincii de chia. De asemenea, il puteti adauga la smoothie-uri, supe, deserturi si functioneaza minunat la coacerea brioselor si a prajiturilor.Ingrediente:&nbsp;100% mar*&nbsp;*din agricultura ecologicaValori nutritionale/100g:Energie: 212Kj / 51KcalGrasimi: 0.1g din care saturate 0gCarbohidrati: 12g din care zaharuri 10gFibre: 1.3gProteine: 0.3gSare: 0gConditii de pastrare:&nbsp;Dupa deschidere, a se pastra la frigider si a se consuma in maximum 3 zile.Produs certificat ecologicAgricultura UEGramaj:&nbsp;360g"
"Maioneza bio 270ml Biona","38.91","instock","www.natur.ro/1B5B98B9-1552-44B6-98CD-562F534180CC.html","https://www.natur.ro/ImaginiProduse/1b5b98b9-1552-44b6-98cd-562f534180cc/5032722318533_7b38af9f-0728-481b-846d-4ce028fa08c0.jpeg","Maioneza Original eco, 270ml, BionaO maioneza simpla, delicioasa din ingrediente organice, irezistibil de neteda ?i cremoasa, perfecta pentru orice: salate, sosuri si tartine. Ea contine oua de la gaini crescute libere in crescatorii a caror prioritate este bunastarea animalelor.Ingrediente:&nbsp;Ulei de floarea soarelui* 77%, galbenus de&nbsp;OU*&nbsp;8%, otet*, sirop din&nbsp;GRAU*(fara gluten)*, apa, seminte de&nbsp;MUSTAR galben*, corector de aciditate: acid citric, sare de mare, sirop de agave*, piper alb*, agent de ingrosare: guma de xanthan, fenicul*, seminte de coriandru*.&nbsp;*din agricultura ecologicaAlergeni:&nbsp;vezi ingrediente cu majuscule.&nbsp;Valori nutritionale/100g:Energie: 3085kj / 737kcalProteine: 1.3gGrasimi: 79g din care saturate 9.1gCarbohidrati: 4.3g din care zaharuri 4.1gSare: 0.97gProdus certificat ecologic.Agricultura non-UE270ml&nbsp;"
"Mustar cu sparanghel de mare 200g Morel et Le Chantoux","55.25","instock","www.natur.ro/36FDF959-EA18-47B1-A50E-A237817FB374.html","https://www.natur.ro/ImaginiProduse/36fdf959-ea18-47b1-a50e-a237817fb374/3760012400201_85dfebd4-b787-42d6-85a2-ac1eb757b4c2.jpg","Mustar cu sparanghel de mare 200g Morel et Le ChantouxAceasta reteta de mare succes imbina aroma mustarului si delicatetea sparanghelului de mare sarat, avand un gust deosebit.Sugestie de folosire:&nbsp;Excelent cu toate tipurile de carne calda sau rece, pentru prepararea vinegretelor sau ca baza pentru quiche.Ingrediente:&nbsp;seminte de&nbsp;MUSTAR*, otet din alcool*, apa, sare, 19.4% sparanghel de mare murat.*din agricultura ecologicaAlergeni:&nbsp;Vezi ingrediente cu majuscule.&nbsp;Conditii de pastrare:&nbsp;A se pastra intr-un loc uscat si racoros. Dupa deschidere, a se pastra la frigider.&nbsp;Fabricat in FrantaGramaj:&nbsp;200g. Borcan de sticla"
"Dressing caesar bio 310ml Bonsan","39.16","instock","www.natur.ro/28F8B34E-B505-4ADB-BDF1-C2AB2030C866.html","https://www.natur.ro/ImaginiProduse/28f8b34e-b505-4adb-bdf1-c2ab2030c866/cezar41184_299c1163-7697-4c96-80b6-55d9b3432d38.jpg","Dressing Caesar bio 310ml BonsanDressing pentru salate sau legume la tigaie.Ingrediente: apa, ulei de rapita*, SOIA (apa, SOIA 9%)*, sirop de agave*, otet din vin*, piure de usturoi* (3%), ceapa pudra*, sos tamari* (SOIA*, sare de mare), sare de mare, MUSTAR*, otet de mere*, suc de lamaie concentrat*, otet*, piper negru*, usturoi*, stabilizator: guma de xanthan, fenicul*, coriandru*.*din agricultura ecologicaValori nutritionale/100g:Energie: 1198kj/286kcalGrasimi: 27.8g din care saturate 2.1gCarbohidrati: 7.2g din care zaharuri 4.2gFibre: 0.8gProteine: 1.4gSaruri: 1.3gAmbalaj: borcan de sticlaProdus certificat bio310ml***Produs importat si distribuit in Romania de Bio Holistic Oradea, importator si distribuitor de produse bio, raw, vegane. Va rugam sa va creati un cont pentru acces la preturi si comenzi, sau sa ne contactati pentru a va trimite oferta noastra comerciala. Va multumim! Produse bio"
"Mustar bio 200ml Dennree","14.68","instock","www.natur.ro/965B300B-EE64-474B-AA16-AC665E279D2F.html","https://www.natur.ro/ImaginiProduse/965b300b-ee64-474b-aa16-ac665e279d2f/Mustarbio200mlDennree_fec6984b-8621-4905-96f8-3c4a92f7d20b.jpeg","Mustar bio 200 ml DennreeMustar bio mediu picant.Ingrediente: apa, seminte de SUSAN*, otet*, sare de mare, zahar*, condimente*, ierburi*.*din agricultura ecologicaValori nutritionale/100g:Energie: 408kj / 98kcal&nbsp;Grasimi: 5.4g din care saturate 0.7gCarbohidrati: 3g din care zaharuri 2.8gProteine: 5.6gSaruri: 2.9gProdus certificat ecologic, ambalat in borcan.&nbsp;Agricultura UE/non-UE200ml"
"Sos de rosii bio 660g Dennree","30.74","instock","www.natur.ro/CF0DCE2A-ABA7-426B-976F-F42ACCEEA3E7.html","https://www.natur.ro/ImaginiProduse/cf0dce2a-aba7-426b-976f-f42acceea3e7/SosderosiiSugoFamigliabio660gDennree_6869c44f-703c-432b-9c70-393e2df0e496.jpeg","Sos de rosii Sugo Famiglia bio 640 ml / 660g DennreeUn sos clasic italian, cu gust consistent, nepicant.Ingrediente:&nbsp; rosii* 91%, legume* 5.5% (morcovi*, ceapa*, TELINA*), ulei de masline extravirgin*, sare de mare, busuioc*.*din agricultura ecologicaValori nutritionale/100g:Energie: 202kj / 48kcalGrasimi: 2.7g din care saturate 0.6gCarbohidrati: 4.3g din care zaharuri 3.1gProteine: 1.2gSaruri: 0.7gProdus certificat ecologic, ambalat in borcan.Agricultura UEItalia640ml / 660g"
"Sos de rosii picant bio 340g Dennree","16.2","instock","www.natur.ro/9E788BD3-B57A-4504-9431-C490DC114018.html","https://www.natur.ro/ImaginiProduse/9e788bd3-b57a-4504-9431-c490dc114018/SosderosiipicantSugoPiccantebio340gDennree_b8e96616-a41c-4152-b5dc-12225af58268.jpeg","Sos de rosii picant Sugo Piccante bio 325 ml / 340g DennreeUn sos clasic italian, cu gust consistent si picant.Ingrediente:&nbsp; rosii* 93%, legume* 6.5% (morcovi*, ceapa*, boia*, TELINA*), chilli*, sare de mare, busuioc*.*din agricultura ecologicaValori nutritionale/100g:Energie: 118kj / 28kcalGrasimi: 0.2g din care saturate 0.01gCarbohidrati: 4.2g din care zaharuri 3.5gProteine: 1.1gSaruri: 0.8gProdus certificat ecologic, ambalat in borcan.Agricultura UE/non-UE325ml / 340g"
"Sos de rosii bio 340g Dennree","16.2","instock","www.natur.ro/4329B0CD-C476-4074-9498-E188B224DBB2.html","https://www.natur.ro/ImaginiProduse/4329b0cd-c476-4074-9498-e188b224dbb2/SosderosiiSugoProntobio340gDennree_11eb34ee-a4cf-4dfa-a869-48222a941e56.jpeg","Sos de rosii Sugo Pronto bio 340g / 325 ml DennreeUn sos clasic italian, cu gust consistent.Ingrediente:&nbsp; rosii* 94%, legume* 5.5% (morcovi*, ceapa*, TELINA*), sare de mare, busuioc*.*din agricultura ecologicaValori nutritionale/100g:Energie: 143kj/34kcal, Fibre: 0g, Grasimi: &lt;0.5g din care saturate &lt;0.1g, Proteine: 1.3g, Carbohidrati: 5.4g din care zaharuri 4g, Sare: 1.1g.Produs certificat ecologic, ambalat in borcan.Agricultura UE/non-UE325ml / 340g"
"Sos de rosii bolognese bio 350g Dennree","21.35","notinstock","www.natur.ro/BE9FBAA5-426C-406F-8725-3E23E5EF2081.html","https://www.natur.ro/ImaginiProduse/be9fbaa5-426c-406f-8725-3e23e5ef2081/SosderosiiBolognesebio350gDennree_5c2b08aa-9d0f-406c-95f0-f7add54a657f.jpeg","Sos de rosii Bolognese bio 350g / 330 ml DennreeUn sos clasic italian, cu gust consistent, vegetarian.Ingrediente:&nbsp; rosii* 69%, SOIA* 10%, legume* 15% (morcovi*, ceapa*, TELINA*), ulei de masline extravirgin*, sare de mare, piper*, maghiran*, usturoi*, chilli*, acidificator: acid citric.*din agricultura ecologicaValori nutritionale/100g:Energie: 253kj / 60kcalGrasimi: 2.3g din care saturate 0.6gCarbohidrati: 6g din care zaharuri 3.9gProteine: 2.9gSaruri: 0.63gProdus certificat ecologic, ambalat in borcan.Agricultura UE/non-UE330ml / 350g"
"Ketchup picant bio 350g Biofood","31.68","instock","www.natur.ro/7B622ACC-F15A-42F8-AC0C-480FB0C31ECC.html","https://www.natur.ro/ImaginiProduse/7b622acc-f15a-42f8-ac0c-480fb0c31ecc/5902693122586_1c8268b6-2fc3-4ce2-bf82-950f211ec883.jpg","Ketchup picant bio 350g BiofoodKetchup-ul picant Biofood imbina suculenta bogata a rosiilor cu o nota intensa picanta, conferita de ardeii Cayenne si ardeii iuti. Aceasta combinatie armonioasa, alaturi de condimentele atent selectionate, creeaza o aroma unica, gata sa-ti cucereasca definitiv papilele gustative.Ingrediente:&nbsp;apa, 34% pasta de rosii*, zahar*, otet*, sare, fibre de cartofi*, 0.1% curry*, 0.06% ardei cayenne*, 0.09% ardei iute*, condimente*.*din agricultura ecologicaValori nutritionale/100g:Energie: 404kj / 95kcalGrasimi: 0.1g din care saturate 0gCarbohidrati: 20.7g din care zaharuri 15gProteine: 1.7gSaruri: 1.9gConditii de pastrare:&nbsp;A se pastra intr-un loc uscat si racoros. Dupa deschidere, a se pastra la temperatura sub 4&deg;C.Tara de origine:&nbsp;PoloniaProdus certificat ecologicAgricultura UE/non-UEGramaj:&nbsp;350g"
"Pulpa de rosii bio 500ml Biofood","20.7","instock","www.natur.ro/E4FCD611-E99B-4DF2-B668-D8800936D5FE.html","https://www.natur.ro/ImaginiProduse/e4fcd611-e99b-4df2-b668-d8800936d5fe/5902693120919_f944f411-2d76-4a9e-8fd6-812a03b48c1e.jpg","Pulpa de rosii bio 500ml Biofood&nbsp;Pulpa de rosii Biofood - fara sare adaugata, semintele si coaja sunt pastrate &ndash; fiind cele mai bune parti ale rosiilor!Rosii: Aceasta leguma contine multe substante valoroase care sustin inima, pielea si bunastarea. Rosiile sunt bogate in vitamina C si carotenoizi, din care organismul nostru produce valoroasa vitamina A. De asemenea, contin vitamine B si K, precum si sodiu, calciu, fier si cupru. Rosiile sunt bogate in magneziu, care ajuta la sustinerea inimii, potasiu, care tonifica pielea si intareste muschii, si brom, care calmeaza nervii. In plus, rosiile au un efect dezacidificant si deshidratant asupra organismului. Reduc riscul de cancer pancreatic si de col uterin si previn constipatia. Au un continut scazut de calorii.Pulpa de rosii: produs pasteurizat. Vegan. Fara gluten. Fara OMG.Ingrediente:&nbsp;100% piure de rosii*.*din agricultura ecologicaValori nutritionale/100g:Energie: 79kj / 19kcalGrasimi: &lt;0.5g din care saturate &lt;0.1gCarbohidrati: 4.0g din care zaharuri 1.2gProteine: 0.64gSaruri: &lt;0.01gFara zahar adaugat. Contine zaharuri prezente in mod natural. Fara sare adaugata. Contine sodiu prezent in mod natural.Agitati inainte consum. Orice sediment este creat de ingrediente naturale.&nbsp;Aroma si consistenta produsului pot varia usor in functie de sezon.Conditii de pastrare:&nbsp;A se pastra intr-un loc uscat si racoros. Dupa deschidere, a se pastra la temperatura sub 4&deg;C.Tara de origine:&nbsp;PoloniaProdus certificat ecologicGramaj:&nbsp;500g"
"Tagliatelle din konjac bio 200g Smaakt","22.25","instock","www.natur.ro/658DA14E-2217-42BC-9C35-217EFF207593.html","https://www.natur.ro/ImaginiProduse/658da14e-2217-42bc-9c35-217eff207593/Tagliatelledinkonjacbio200gSmaakt_ba381d59-2f7b-46f6-bd79-81f243e65e8f.jpeg","Tagliatelle din konjac, bio, 200g, SmaaktAceste tagliatele&nbsp;Smaakt&nbsp;cu un continut redus de carbohidrati sunt facute din faina plantei de Konjac.&nbsp;Planta Konjac&nbsp;este un tubercul cu amidon care este foarte bogat in fibre si nu contine grasimi, zahar si, prin urmare, aproape deloc&nbsp;calorii. Smaakt Less Carb Konjac Tagliatelle este facut dupa o reteta unica in care se amesteca&nbsp;fibre de ovaz fara gluten si se adauga la faina de Konjac. In mod normal, produsele din Konjac sunt albe&nbsp;si stralucitoare la aspect si au o textura foarte rigida. Prin adaugarea amestecului de fibre, culoarea este&nbsp;galbena, asemenea pastelor, iar textura este mai moale si mai gustoasa!Mod de preparare:&nbsp;scurgeti lichidul, clatiti bine sub jet de apa si adaugati in sosuri, preparate prajite, supe sau salate calde. Incalziti preparatul timp de 2 minute.&nbsp;&nbsp;Daca aveti probleme la inghitire, nu este recomandat sa consumati produse din Konjac. Bea 1/2 pahare de apa inainte de mese.Ingrediente:&nbsp;apa, faina de konjac* 3,4%, fibre de&nbsp;OVAZ&nbsp;FARA GLUTEN*.*din agricultura ecologicaValori nutritionale/100g:Energie: 35 Kj/ 9 KcalGrasimi: 0g din care saturate 0gCarbohidrati: 0g din care zaharuri 0gFibre: 4g din care Glucomannan 2.3gProteine: 0.20gSaruri: 0gConditii de pastrare:&nbsp;A se pastra in loc uscat departe de caldura. Dupa deschidere, a se pastra intr-un recipient cu apa inchis ermetic, in frigider (4-7&deg;C), timp de maxim 2 zile.270g, greutate neta: 200g&nbsp;"
"Penne din grau integral bio 500g Biona","18.5","instock","www.natur.ro/D40AE7A2-E003-4E66-8F67-FDB288DA59FE.html","https://www.natur.ro/ImaginiProduse/d40ae7a2-e003-4e66-8f67-fdb288da59fe/4451BIONAWholewheatPenne500g002WEB_bc3bb195-d971-4f96-828f-64b86874c0c5.jpg","Penne din grau integral eco, 500g, Biona-vegan-Nu poti grabi perfectiunea. Odata modelate, pastelor integrale de la Biona li se permite o perioada de odihna, inainte de a fi uscate usor. Rezultatul? Paste extrem de aromate si versatile, fabricate din nimic altceva decat grau dur de cea mai buna calitate si apa alpina. Pentru un gust deosebit, se pot servi, impreuna cu gama noastra de sosuri de paste organice Biona.Buon Appetito!Ingrediente: GRAU&nbsp;dur integral*, apa.*din agricultura ecologicaAlergeni:&nbsp;Vezi ingrediente cu majuscule. Poate contine urme de&nbsp;SOIA&nbsp;si&nbsp;MUSTAR. Contine&nbsp;GLUTEN.Valori nutritionale/100g:Energie: 1453kj/344kcalGrasimi: 2g din care saturate 0.4gCarbohidrati: 65g din care zaharuri 3gFibre: 8.8gProteine: 12gSare: 0.0gMod de preparare:&nbsp;Pentru fiecare 100g de paste fierbeti 1L de apa.&nbsp;Adaugati sare dupa gust, lasati pastele la fiert timp de 10&nbsp;minute, amestecand din cand in cand.Conditii de pastrare:&nbsp;A se pastra in loc uscat si racoros.&nbsp;Produs certificat ecologicTara de origine:&nbsp;ItaliaGramaj:&nbsp;500g"
"Fusilli din grau integral bio 500g Biona","18.5","instock","www.natur.ro/h1spiralenbspintegraledingraudurbio500gbionah1pspiraleitalienebioproduseinnordulitalieideofamiliecutraditieinfabricareapastelorfainoasedincelmaibungraudursidinapadeizvorppstrongingredientestrongnbsps.html","https://www.natur.ro/ImaginiProduse/ac518298-c5e4-47b6-a002-e7db47eb848c/5032722304468_1d9c3288-e0b5-4e97-9571-ed60524fca76.jpg","Fusilli din grau integral eco, 500g, BionaNu poti grabi perfectiunea. Odata modelate, pastelor noastre integrale li se permite o perioada de odihna, inainte de a fi uscate usor. Rezultatul? Paste extrem de aromate si versatile, fabricate din nimic altceva decat grau dur de cea mai buna calitate si apa alpina. Pentru un gust deosebit, se pot servi, impreuna cu gama noastra de sosuri de paste organice Biona.Buon Appetito!Ingrediente:&nbsp;gris din grau dur integral*, apa.*din agricultura ecologicaAlergeni:&nbsp;Poate contine urme&nbsp;SOIA&nbsp;si&nbsp;MUSTAR. Contine&nbsp;GLUTEN.Valori nutritionale/100g:Energie 1453kj/344kcalGrasimi 2g din care saturate 0.4gCarbohidrati 65g din care zaharuri 3gFibre 8.8gProteine 12gSare 0.0gMod de preparare:&nbsp;Aduceti 1L de apa pentru fiecare 100gde paste la fiert. Adaugati pastele si fierbeti, apoi scurgeti siserviti.Timp de fierbere:&nbsp;11 minute.Produs certificat ecologicFabricat in ItaliaGramaj:&nbsp;500g"
"Fusilli din grau spelta integral bio 500g Biona","24.54","instock","www.natur.ro/070D2734-352B-4CE0-A956-868A13192BD3.html","https://www.natur.ro/ImaginiProduse/070d2734-352b-4ce0-a956-868a13192bd3/5032722305038_e72d5079-a5a8-468a-b001-8e640c84116d.jpeg","Fusilli din grau spelta integral eco 500g BionaIngrediente:&nbsp;faina din grau spelta&nbsp;integral**din agricultura ecologicaValori nutritionale/100g:Energie: 1452kj / 344kcalGrasimi: 2.4g din care saturate 0.4gCarbohidrati: 62g din care zaharuri 3.3gFibre: 11gProteine: 13gSaruri: &lt;0.01gTimp de fierbere:&nbsp;5-7 minute.Produs certificat ecologicFabricat in Italia500g"
"Penne din grau spelta integral bio 500g Biona","24.54","instock","www.natur.ro/1F0BB0C4-60D5-4F5A-A83F-3F825B8F2384.html","https://www.natur.ro/ImaginiProduse/1f0bb0c4-60d5-4f5a-a83f-3f825b8f2384/5045BIONASpeltWholegrainPenne500g001_f9e6d4ae-37f4-4853-952f-ff9d04065c04.jpg","Penne din grau spelta integral eco 500g Biona&nbsp;Ingrediente:&nbsp;faina din grau spelta integral**din agricultura ecologicaValori nutritionale/100g:Energie: 1452kj / 344kcalGrasimi: 2.4g din care saturate 0.4gCarbohidrati: 62g din care zaharuri 3.3gFibre: 11gProteine: 13gSaruri: &lt;0.01gTimp de fierbere:&nbsp;7-8&nbsp;minute.Produs certificat ecologicFabricat in Italia500g"
"Spaghetti din grau spelta integral bio 500g Biona","23.85","instock","www.natur.ro/534E3C9E-3656-4B2D-8F23-ED50339440CD.html","https://www.natur.ro/ImaginiProduse/534e3c9e-3656-4b2d-8f23-ed50339440cd/6486BIONASpeltWholegrainSpaghetti500g001_9122ef4a-3c9c-44ff-a5e1-ce4748c126ae.jpg","Spaghetti integrale din grau spelta bio 500g Biona-vegan-Spaghete bio produse din cel mai bun grau spelta integral.Ingrediente: GRAU spelta integral**din agricultura ecologicaAlergeni:&nbsp;vezi ingrediente cu majuscule.&nbsp;Valori nutritionale/100g:Energie: 1452kj / 344kcalGrasimi: 2.4g din care saturate 0.4gCarbohidrati: 62g din care zaharuri 3.3gFibre: 11gProteine: 13gSaruri: 0.01gTimp de fierbere: 7-8 minute.Produs certificat ecologic.Tara de origine: Germania500g&nbsp;"
"Spaghetti din grau spelta alb bio 500g Biona","28.24","instock","www.natur.ro/282D5C97-1529-47F2-81AA-B7E7313E988D.html","https://www.natur.ro/ImaginiProduse/282d5c97-1529-47f2-81aa-b7e7313e988d/5032722309234_c1614537-7d32-4e42-8c8a-e9fa1f5d62e3.jpeg","Spaghetii din grau spelta alb eco 500g Biona&nbsp;Ingrediente:&nbsp;faina din&nbsp;grau spelta**din agricultura ecologicaValori nutritionale/100g:Energie: 1527kj / 360kcalGrasimi: 1.5g din care saturate 0.3gCarbohidrati: 74g din care zaharuri 3.1gFibre: 3.3gProteine: 11gSaruri: &lt;0.01gTimp de fierbere:&nbsp; 6-7&nbsp;minute.Produs certificat ecologicFabricat in Italia500g"
"Tagliatelle din spelta cu spanac bio 250g Biona","20.02","instock","www.natur.ro/21BD6FF4-A2D9-4E23-A74F-2E856B6865EF.html","https://www.natur.ro/ImaginiProduse/21bd6ff4-a2d9-4e23-a74f-2e856b6865ef/5032722311107_8b7b81f2-6518-4c81-ba9a-a94c6041f0a8.png","Tagliatelle din spelta cu spanac eco, 250g, BionaTagliatelele din grau spelta alb si spanac sunt un sortiment nutritiv si apreciat atat de adulti cat si de copii. Pe langa graul spelta care este cunoscut pentru continutul mai ridicat de fibre, vitamine si proteine decat graul conventional, cei de la Biona l-au combinat cu spanac pentru un plus de nutrienti. Desi nu contine gluten, graul spelta este uneori tolerat inclusiv de persoanele cu alergie la grau.Ingrediente:&nbsp;faina din&nbsp;GRAU SPELTA&nbsp;alb*, pudra de spanac* 3%.&nbsp;&nbsp;*din agricultura ecologicaAlergeni:&nbsp;vezi ingrediente cu majuscule. Poate contine urme de OUA si TELINA.Valori nutritionale/100g:Energie: 1463kj/346kcalGrasimi: 1.4g din care saturate 0.6gCarbohidrati: 69g din care zaharuri 3.1gFibre: 8.5gProteine: 9.9gSaruri: 0.02gMod de preparare:&nbsp;Pentru fiecare 100g de paste, fierbeti 1L de apa. Adaugati sare dupa gust si lasati pastele la fiert timp de 8-9 minute, amestecand din cand in cand. Strecurati si serviti.Timp de fierbere:&nbsp;8-9 minuteConditii de pastrare:&nbsp;A se pastra intr-un loc uscat si racoros.&nbsp;Produs certificat ecologicGramaj:&nbsp;250g"
"Fusilli tricolore din grau dur bio 500g Biona","21.72","instock","www.natur.ro/fusilli-tri-colore-eco-500g-biona.html","https://www.natur.ro/ImaginiProduse/a5e73a34-451a-4c2b-8648-770eaf5fdba8/5032722304543_3c5d1710-3510-4c58-9201-a5712585ae0f.jpeg","Fusilli tricolore bio 500g-vegan-Un amestec de fusilli in 3 culori: galben, rosu, si verde.Ingrediente: gris de&nbsp;GRAU&nbsp;dur*, pudra de tomate* 3%, pudra de spanac* 2%, apa de izvor.*din ingrediente ecologiceAlergeni:&nbsp;vezi ingredientele cu majuscule. Poate contine urme de soia sau mustar.&nbsp;&nbsp;Valori nutritionale/100g:Energie: 1492kj/ 352 KcalGrasimi: 1.2g din care saturate 0.2gCarbohidrati: 71g din care zaharuri 3gFibre: 3.5gProteine: 13gSaruri: 0.02gTimp de fierbere: 9 min.Produs certificat ecologic.&nbsp;Tara de origine: Italia500g"
"Fusilli din hrisca bio  500g Amisa","38.22","instock","www.natur.ro/fusilli-din-hrisca-fara-gluten-eco-500g.html","https://www.natur.ro/ImaginiProduse/0a4f4a27-919e-4b53-9167-b456cd4309fc/5032722314214_ea0afaa4-9c12-49eb-8e83-fd037fe53f94.jpg","Fusilli din hrisca fara gluten bio 500g-vegan, fara gluten-Ingrediente:&nbsp;faina de hrisca*.*din agricultura ecologicaAlergeni:&nbsp;Poate contine urme de SOIA sau OUA.&nbsp;Valori nutritionale/100g:Energie: 1497kj / 354kcalGrasimi: 3.1g din care saturate 0.6gCarbohidrati: 65g din care zaharuri 1.4gFibre 9.2g&nbsp;Proteine: 12gSaruri: &lt;0.01gTimp de fierbere:&nbsp;8minuteProdus certificat ecologic.Agricultura UE500g"
"Penne din orez integral bio 500g Amisa","29.37","instock","www.natur.ro/penne-din-orez-integral-fara-gluten-eco-500g.html","https://www.natur.ro/ImaginiProduse/4f64e822-6bc5-4881-8f37-075a6ba1098d/penneorez_4c4b9323-175a-48d1-a46e-1ee740c06e9c.jpg","Penne din orez integral fara gluten bio 500g-vegan, fara gluten-Ingrediente: faina integrala din orez**din agricultura ecologicaAlergeni: Poate contine urme de OUA sau SOIA.Valori nutritionale/100g:Energie: 1546kj / 365kcalGrasimi: 3.6g din care saturate 0.8gCarbohidrati: 73.0g din care zaharuri 1.1gFibre: 3.4g&nbsp;Proteine: 8.5gSaruri: &lt;0.01gTimp de fierbere: 9 minute.&nbsp;Produs certificat ecologic.Agricultura UE500g&nbsp;"
"Paste cu faina de sorg bio 250g Nutracentis","15.96","instock","www.natur.ro/CD2013FF-D0CF-45B5-9152-6B68264E6D8E.html","https://www.natur.ro/ImaginiProduse/cd2013ff-d0cf-45b5-9152-6b68264e6d8e/6_6af17c2e-a6fb-4334-9d64-210c7fbaaac5.png","Paste cu faina de sorg bio 250g NutracentisPaste bio vegane fara gluten, fabricate de maestri italieni pentru garantia calitatii si a gustului desavarsit. Sorgul (sau soriz cum i se mai spune) este in mod natural fara gluten si are un gust neutru, castigand tot mai mult teren datorita calitatilor sale deosebite ca si inlocuitor al fainii de grau.Ingrediente:&nbsp;75% faina de sorg*, 25% faina de orez integral*.*din agricultura ecologicaAlergeni:&nbsp;Poate contine urme de SOIA.&nbsp;Timp de fierbere:&nbsp;5-6 minute.Valori nutritionale/100g:Energie: 1553kJ/367kcalGrasimi: 2.8g din care saturate 0.4gCarbohidrati: 73g din care zaharuri 2.6gFibre: 5.2gProteine: 9.4gSaruri: 0.1gConditii de pastrare:&nbsp;A se pastra intr-un loc uscat si racoros, ferit de razele directe ale soarelui.Produs certificat ecologicFabricat in ItaliaGramaj:&nbsp;250g"
"Paste cu faina de sorg si sfecla rosie bio 250g Nutracentis","18.3","instock","www.natur.ro/D0E19404-5F54-4507-8390-805903A611F7.html","https://www.natur.ro/ImaginiProduse/d0e19404-5f54-4507-8390-805903a611f7/Pastecufainadesorgsisfeclarosiebiofaragluten250gNutracentis_854a9473-08da-417e-972f-149cc2722ab7.jpeg","Paste cu faina de sorg si sfecla rosie bio fara gluten, 250g NutracentisPaste bio vegane fara gluten, fabricate de maestri italieni pentru garantia calitatii si a gustului desavarsit. Sorgul (sau soriz cum i se mai spune) este in mod natural fara gluten si are un gust neutru, castigand tot mai mult teren datorita calitatilor sale deosebite ca si inlocuitor al fainii de grau.Ingrediente: faina de sorg* 70%, faina de orez integral*, pudra de sflecla rosie* 5%.*din agricultura ecologicaTimp de fierbere: 5-6 minute.Valori nutritionale/100g:Energie: 1519 kJ/359 kcalGrasimi: 3.6g din care saturate 0.7gCarbohidrati: 69g din care zaharuri 3.5gFibre: 6.4gProteine: 9.5gSaruri: 0gPoate contine urme de soia.Fabricat in Italia intr-o cooperativa agricola. Produs certificat bio, Vegan, fara gluten.250g"
"Paste din faina de porumb alb cu turmeric si piper bio 250g Nutracentis","18.3","notinstock","www.natur.ro/09A804C3-C9E0-4447-B5F7-C5170CB6E382.html","https://www.natur.ro/ImaginiProduse/09a804c3-c9e0-4447-b5f7-c5170cb6e382/Pastedinfainadeporumbalbcuturmericsipiperbiofaragluten250gNutracentis_3b0b7d37-d7ff-459e-95fe-b7c273bea473.jpeg","Paste din faina de porumb alb cu turmeric si piper bio fara gluten, 250g NutracentisPaste bio vegane fara gluten, fabricate de maestri italieni pentru garantia calitatii si a gustului desavarsit. Faina din porumb alb este macinata foarte fin iar uscarea pastelor se face la temperaturi scazute pentru o textura perfecta.Ingrediente: faina de porumb alb*, pudra de turmeric* 5%, piper negru* 0.2%.*din agricultura ecologicaTimp de fierbere: 10-12 minute.Valori nutritionale/100g:Energie: 1561 kJ/368 kcalGrasimi: 2.4g din care saturate 0.4gCarbohidrati: 78g din care zaharuri 0.8gFibre: 2.7gProteine: 7.1gSaruri: 00gPoate contine urme de soia.Fabricat in Italia intr-o cooperativa agricola. Produs certificat bio, Vegan, fara gluten.250g"
